processo_enquadramento,fornecedor,cnpj_cpf,contratacao_objeto,fundamento_legal,vigencia_inicio,vigencia_fim,contrato_valor_txt,contrato_saldo_bruto,situacao,contrato_currency,contrato_amount
Dispensa,M L DE SOUZA COMERCIAL E IMPORTACAO,02.368.763/0001-15,Trincha para pintura:Esmeril de bancada:Esmeril de coluna,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",11/01/2018,16/04/2018,"R$ 7.251,38","R$ 7.251,38",Ativo,R$,7251.38
Dispensa,E M ENTERPRISE NEGOCIOS COMERCIAIS,07.053.767/0001-28,Rolamento:Regulador de curso,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",19/01/2018,07/05/2018,"R$ 3.350,99","R$ 3.350,99",Ativo,R$,3350.99
Dispensa,PETROBRAS AMERICA INC,EXTERNO,valvula reguladora de pressão,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",01/02/2018,03/04/2018,"US$ 6.219,90","US$ 6.219,90",Ativo,US$,6219.90
Dispensa,SMITHS BRASIL LTDA,04.480.563/0008-51,Face do selo mecânico:Anel de vedação específico,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",02/02/2018,02/05/2018,"R$ 1.864,97","R$ 1.864,97",Ativo,R$,1864.97
Dispensa,"ASELCO INDUSTRIA, COMERCIO,",09.038.088/0001-05,Cobertura,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",12/01/2018,28/03/2018,"R$ 21.242,41","R$ 21.242,41",Ativo,R$,21242.41
Dispensa,SMITHS BRASIL LTDA,04.480.563/0001-85,Membrana p/acopl. John Crane,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",11/01/2018,30/04/2018,"R$ 9.289,95","R$ 9.289,95",Ativo,R$,9289.95
Dispensa,YOKOGAWA AMERICA DO SUL LTDA.,53.761.607/0001-50,Transmissor de pressão,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",22/01/2018,13/04/2018,"R$ 3.644,01","R$ 3.644,01",Ativo,R$,3644.01
Dispensa,M V P SANTOS COMERCIO E SERVICOS,25.172.827/0001-03,Adaptador F/F para cabo coaxial,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",09/01/2018,15/03/2018,"R$ 1.300,27","R$ 1.300,27",Ativo,R$,1300.27
Dispensa,PETROBRAS DISTRIBUIDORA S A,34.274.233/0156-30,Óleo lubrificante marbrax ccd440 - granel,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",09/01/2018,28/02/2018,"R$ 426.321,98","R$ 45.328,36",Ativo,R$,426321.98
Dispensa,MACCOMEVAP INDUSTRIA COMERCIO,04.316.457/0001-60,Prensa cabo,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",07/02/2018,15/03/2018,"R$ 1.231,02","R$ 1.231,02",Ativo,R$,1231.02
Dispensa,ORGAX SUPPLY LTDA - ME,19.376.594/0001-68,Sinalizador led,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",04/01/2018,12/03/2018,"R$ 874,93","R$ 0,00",Concluído,R$,874.93
Dispensa,JAIR DE OLIVEIRA COSTA - ME,09.359.594/0001-04,MANUTENÇÃO EQUIPAMENTOS DA ACADEMIA DA PCM-9.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",02/01/2018,30/01/2018,"R$ 2.228,00","R$ 2.228,00",Concluído,R$,2228.00
Dispensa,SMITHS BRASIL LTDA,04.480.563/0008-51,Cunha para selo mec. John Crane:Mola helicoidal,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",12/01/2018,19/03/2018,"R$ 5.489,01","R$ 5.489,01",Ativo,R$,5489.01
Dispensa,PETROBRAS DISTRIBUIDORA S A,34.274.233/0156-30,Óleo lubrificante marbra ccd440 - granel,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",23/02/2018,23/03/2018,"R$ 213.161,00","R$ 213.161,00",Ativo,R$,213161.00
Dispensa,M&I ELECTRIC BRAZIL SISTEMAS E,20.458.968/0001-73,Reparo no motor da bomba do tanque coletor de gordura da BGL,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",22/01/2018,21/02/2018,"R$ 2.205,58","R$ 2.205,58",Concluído,R$,2205.58
Dispensa,PETROLANE SERVICOS EM PETROLEO LTDA,40.216.020/0001-19,Cabeça p/válvula controle de fluxo:Jogo de juntas,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",18/01/2018,14/05/2018,"R$ 105.549,43","R$ 105.549,43",Ativo,R$,105549.43
Dispensa,METRACAL SERVICOS EM EQUIPAMENTOS,03.175.889/0001-36,Manutenção de equipamentos,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",08/01/2018,09/03/2018,"R$ 2.937,52","R$ 0,01",Ativo,R$,2937.52
Dispensa,PETROBRAS AMERICA INC,EXTERNO,Stem Parcol,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",07/02/2018,20/03/2018,"US$ 252.042,10","US$ 252.042,10",Ativo,US$,252042.10
Dispensa,ROMA COMERCIO DE METAIS EM GERAL,61.405.627/0001-17,Tarugo oco : Circular : BZ ASTM B584 UNS C86400 : DE 4 1/2 p,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",21/02/2018,04/04/2018,"R$ 9.798,41","R$ 9.798,41",Ativo,R$,9798.41
Dispensa,ANGRAPRODUÇÕES EIRELE ME,26.391.097/0001-02,Prestação de serviço de infraestrutura para realização de au,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/03/2018,30/04/2018,"R$ 105.641,02","R$ 105.641,02",Ativo,R$,105641.02
Dispensa,TELE - RAD ELETROELETRONICA E,12.358.643/0001-90,Anel de vedação,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",15/01/2018,09/05/2018,"R$ 291,67","R$ 291,67",Ativo,R$,291.67
Dispensa,LOCMAR COMERCIO SERVICOS E,39.692.108/0001-28,P-50 Serviço isolamento termico pessoal,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",21/02/2018,20/06/2018,"R$ 92.275,76","R$ 92.275,76",Ativo,R$,92275.76
Dispensa,POLO COMERCIO E SERVICOS LTDA,01.113.887/0001-97,Válvula de retenção específica,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/02/2018,14/03/2018,"R$ 1.217,71","R$ 1.217,71",Cancelado,R$,1217.71
Dispensa,WILLY INSTRUMENTOS DE MEDICAO E,07.645.541/0001-16,Termostato,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",04/01/2018,12/03/2018,"R$ 16.247,29","R$ 16.247,29",Ativo,R$,16247.29
Dispensa,PETROBRAS AMERICA INC,EXTERNO,VISOR,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",01/02/2018,05/02/2018,"US$ 2.449,00","US$ 2.449,00",Ativo,US$,2449.00
Dispensa,PARKER HANNIFIN INDUSTRIA E,54.823.455/0008-02,Filtro de ar comprimido,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",10/01/2018,26/02/2018,"R$ 3.355,30","R$ 3.355,30",Cancelado,R$,3355.30
Dispensa,RO-PECAS ROLAMENTOS E MANCAIS LTDA,50.631.209/0001-21,Mancal Y quadrado:Rolamento esferas carga radial,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/02/2018,27/02/2018,"R$ 383,27","R$ 383,27",Ativo,R$,383.27
Dispensa,INTERENG AUTOMACAO INDUSTRIAL LTDA.,65.472.714/0001-48,Indicador específico,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",18/01/2018,30/04/2018,"R$ 4.711,09","R$ 4.711,09",Ativo,R$,4711.09
Dispensa,GEVISA S A,68.059.674/0001-03,Bucha específica : do mancal : para motor elétrico : GE :,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",02/01/2018,05/03/2018,"R$ 27.107,00","R$ 27.107,00",Ativo,R$,27107.00
Convite,ALPHA EQUIPAMENTOS ELETRICOS LTDA,47.876.552/0001-21,Luminária para área Classificada,"3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao obj",05/02/2018,06/04/2018,"R$ 244.097,54","R$ 244.097,54",Ativo,R$,244097.54
Dispensa,TEADIT JUNTAS LTDA,62.948.658/0001-87,"Compra de Junta e Fita isol. térm vidro esp.2,5mm 75mm","Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",19/01/2018,20/02/2018,"R$ 2.968,02","R$ 2.587,67",Ativo,R$,2968.02
Dispensa,CENTRO DE DOENCAS RESPIRATORIAS,03.680.379/0001-16,SERVIÇOS HOSPITALARES,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/01/2018,01/07/2018,"R$ 3.998,99","R$ 3.998,99",Ativo,R$,3998.99
Dispensa,CLINICA SANTA PAULA LTDA,00.510.973/0001-70,Serviços de exames ocupacionais complementares prestados nas,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/01/2018,01/07/2018,"R$ 3.998,99","R$ 3.527,21",Ativo,R$,3998.99
Dispensa,PLASMA DIAGNOSTICOS PATOLOGIA CLINI,03.472.219/0001-81,Serviços de exames ocupacionais complementares prestados nas,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/01/2018,01/07/2018,"R$ 3.998,99","R$ 3.998,99",Ativo,R$,3998.99
Dispensa,PLENA SERVIÇOS CORPORATIVOS LTDA,11.313.663/0001-82,Serviços de exames ocupacionais complementares prestados nas,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/01/2018,01/07/2018,"R$ 3.998,99","R$ 3.998,99",Ativo,R$,3998.99
Dispensa,ANA MARIA MEDEIROS DE LACERDA E,027.373.374-53,Serviços de exames ocupacionais complementares prestados nas,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/01/2018,01/07/2018,"R$ 3.629,09","R$ 3.629,09",Ativo,R$,3629.09
Dispensa,DIAGNOSTIMAGEM LTDA,05.888.940/0001-82,Serviços de exames ocupacionais complementares prestados nas,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/01/2018,01/07/2018,"R$ 3.998,99","R$ 3.998,99",Ativo,R$,3998.99
Dispensa,MINAS FERRAMENTAS LTDA,17.194.994/0001-27,Suporte específico,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",04/01/2018,15/02/2018,"R$ 1.093,74","R$ -153,12",Concluído,R$,1093.74
Dispensa,PETROBRAS AMERICA INC,EXTERNO,ANEL VEDAÇÃO,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",01/02/2018,25/06/2018,"US$ 16.984,10","US$ 16.984,10",Ativo,US$,16984.10
Dispensa,CENTRO DE PESQUISA E DIAGNOSTICOS,34.574.038/0001-90,EXAMES LABORATORIAIS,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",02/01/2018,04/05/2018,"R$ 40.501,01","R$ 40.501,01",Ativo,R$,40501.01
Dispensa,PETROBRAS AMERICA INC,EXTERNO,INJETOR,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",01/02/2018,15/02/2018,"US$ 6.045,42","US$ 6.045,42",Ativo,US$,6045.42
Dispensa,RJDX SERVICOS LOCACAO E COMERCIO,15.786.464/0001-42,Prestação dos serviços de pintura e modificação de 01 (um) c,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",25/01/2018,25/03/2018,"R$ 89.000,00","R$ 89.000,00",Ativo,R$,89000.00
Dispensa,PONSI REPRESENTACOES E COMERCIO DE,53.496.444/0001-26,Válvula esfera metálica,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",31/01/2018,16/07/2018,"R$ 820,94","R$ 820,94",Ativo,R$,820.94
Dispensa,VITEC INSTRUMENTACAO INDUSTRIAL,03.701.592/0001-67,Atuador pneumático : tipo: mola/diafragma : especificação: l,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",17/01/2018,19/03/2018,"R$ 15.960,00","R$ 15.960,00",Ativo,R$,15960.00
Dispensa,JEA INDUSTRIA METALURGICA LTDA,56.636.376/0001-41,Parafuso estojo,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",30/01/2018,05/06/2018,"R$ 22.198,25","R$ 22.198,25",Ativo,R$,22198.25
Dispensa,MELIA BRASIL ADMINISTRACAO,62.413.877/0037-72,HOSPEDAGEM NO PAÍS,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",04/02/2018,07/02/2018,"R$ 1.834,00","R$ 0,00",Concluído,R$,1834.00
Dispensa,BR COMPRESSORES SERVICE LTDA,05.808.502/0001-67,Engrenagem,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",09/01/2018,23/04/2018,"R$ 8.382,78","R$ 8.382,78",Ativo,R$,8382.78
Dispensa,PETROBRAS AMERICA INC,EXTERNO,ANEL VEDAÇÃO,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",01/02/2018,05/03/2018,"US$ 797,94","US$ 797,94",Ativo,US$,797.94
Dispensa,CUMMINS VENDAS E SERVICOS DE,61.838.884/0005-76,Cotovelo da bomba SULZER,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",10/01/2018,16/04/2018,"R$ 411,97","R$ 411,97",Ativo,R$,411.97
Dispensa,ASCOVAL INDUSTRIA E COMERCIO LTDA,43.021.906/0001-03,Válvula solenóide : extremidade da conexão: rosca 3/4  NPT :,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",02/01/2018,02/05/2018,"R$ 17.648,04","R$ 17.648,04",Ativo,R$,17648.04
Dispensa,INFINITY OFFSHORE COMERCIO,19.459.645/0001-15,Elemento filtrante : do filtro de gás : Do turboexpansor MAF,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",30/01/2018,10/08/2018,"R$ 3.563,02","R$ 3.563,02",Ativo,R$,3563.02
Dispensa,YOKOGAWA AMERICA DO SUL LTDA.,53.761.607/0001-50,Transmissor de pressão,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",23/02/2018,30/05/2018,"R$ 8.194,99","R$ 8.194,99",Ativo,R$,8194.99
Dispensa,BRAY CONTROLS INDUSTRIA DE VALVULAS,06.979.206/0001-91,Válvula borboleta wafer : acionamento manual : padrão API 60,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",31/01/2018,01/08/2018,"R$ 6.481,32","R$ 6.481,32",Ativo,R$,6481.32
Dispensa,TUBOS OLIVEIRA LTDA.,57.424.244/0001-19,TUBOS E CONEXÕES - RNEST,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",19/01/2018,19/04/2018,"R$ 51.870,92","R$ 51.870,92",Ativo,R$,51870.92
Dispensa,INSTITUTO DE CIENCIAS NAUTICAS ICN,04.094.302/0001-27,Treinamento de CGIO - Conformidade Legal,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",22/01/2018,18/05/2018,"R$ 24.200,00","R$ 18.149,99",Ativo,R$,24200.00
Dispensa,DOVA EQUIPAMENTOS ELÉTRICOS LTDA,33.462.359/0003-00,CABO DE POTÊNCIA,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",06/02/2018,08/02/2018,"R$ 16.232,50","R$ -244,30",Ativo,R$,16232.50
Dispensa,L A E S LABORATORIO DE ANALISES,40.807.109/0001-50,EXAMES LABORATORIAIS,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",02/01/2018,01/07/2018,"R$ 28.740,29","R$ 26.606,11",Ativo,R$,28740.29
Dispensa,DIGITROL INDUSTRIA E COMERCIO LTDA,53.153.649/0001-09,Transmissor de pressão,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",09/01/2018,03/05/2018,"R$ 22.820,02","R$ 22.820,02",Ativo,R$,22820.02
Dispensa,ABB LTDA,61.074.829/0080-27,Intertravamento,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",09/01/2018,02/04/2018,"R$ 6.275,70","R$ 6.275,70",Ativo,R$,6275.70
Dispensa,MAXEL MATERIAIS ELETRICOS LTDA,96.404.942/0001-04,Disjuntor em caixa moldada,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",03/01/2018,08/02/2018,"R$ 6.524,62","R$ 6.524,62",Ativo,R$,6524.62
Dispensa,TUBOS OLIVEIRA LTDA.,57.424.244/0001-19,Tubo condução de aço carbono,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",26/01/2018,21/02/2018,"R$ 5.707,31","R$ 5.707,31",Ativo,R$,5707.31
Dispensa,WEG EQUIPAMENTOS ELETRICOS S/A,07.175.725/0010-50,Motor elétrico de indução trifásico,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",19/01/2018,14/05/2018,"R$ 7.902,86","R$ 7.902,86",Ativo,R$,7902.86
Dispensa,WIKA DO BRASIL INDUSTRIA E COMERCIO,61.128.500/0001-06,Termômetro dial:Manômetro,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",23/01/2018,09/04/2018,"R$ 2.360,23","R$ 2.360,23",Ativo,R$,2360.23
Dispensa,MATOS & RIBEIRO HIDROJATEAMENTO,17.337.817/0001-52,Caminhão vácuo com hidrojato,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/02/2018,30/03/2018,"R$ 24.019,20","R$ 24.019,20",Ativo,R$,24019.20
Dispensa,SELCO TECNOLOGIA E INDUSTRIA LTDA,53.902.607/0001-23,"ZQPS - Análise de performance em compressores - Atalaia -SE,","Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",22/01/2018,22/10/2018,"R$ 110.760,00","R$ 110.760,00",Ativo,R$,110760.00
Dispensa,SULZER BRASIL S A,33.574.575/0019-04,Tubo da bomba SULZER,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",18/01/2018,12/03/2018,"R$ 882,01","R$ 882,01",Ativo,R$,882.01
Dispensa,MICROMAZZA-PMP LTDA,72.096.100/0001-74,Válvula esfera metálica,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",11/01/2018,17/04/2018,"R$ 316,26","R$ 316,26",Ativo,R$,316.26
Convite,INSTRUVAL INSTRUMENTOS E SERVICOS,00.005.063/0001-30,Sistema de injeção de produtos químicos.,"3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao obj",04/01/2018,15/06/2018,"R$ 627.948,38","R$ 627.948,38",Ativo,R$,627948.38
Dispensa,TAYLOR HOBSON DO BRASIL LTDA - EPP,05.462.473/0001-24,MANUTENCAO PREVENTIVA EQUIPAMENTO Medidor de Superfície CCI,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",10/01/2018,10/02/2018,"R$ 30.000,00","R$ 30.000,00",Concluído,R$,30000.00
Dispensa,TUBOS ABC COMERCIO DE PRODUTOS,05.755.311/0001-84,Tubo condução de aço carbono,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",15/02/2018,05/03/2018,"R$ 769,69","R$ 769,69",Ativo,R$,769.69
Dispensa,EMERSON PROCESS MANAGEMENT LTDA,43.213.776/0001-00,SOBRESSALENTE FISHER,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",05/01/2018,10/04/2018,"R$ 54.357,43","R$ 30.739,97",Ativo,R$,54357.43
Dispensa,H.CIDADE COMERCIO E REPRESENTACOES,44.006.294/0001-34,Válvula de controle,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,29/03/2018,"R$ 19.873,96","R$ 19.873,96",Ativo,R$,19873.96
Dispensa,SOTREQ S/A,34.151.100/0003-00,Anel de vedação:Mancal PARTES:Porca especial:Junta PARTES,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",20/02/2018,17/04/2018,"R$ 1.259,56","R$ 1.259,56",Ativo,R$,1259.56
Dispensa,SELCO TECNOLOGIA E INDUSTRIA LTDA,53.902.607/0001-23,ZQPS - Análise de performance em compressores - Alagoas -ATI,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",22/01/2018,22/10/2018,"R$ 57.420,00","R$ 57.420,00",Ativo,R$,57420.00
Dispensa,ASTM ACESSORIOS SERVICOS TECNICOS,63.034.847/0001-07,Parafuso estojo,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",31/01/2018,27/04/2018,"R$ 24.199,34","R$ 24.199,34",Ativo,R$,24199.34
Dispensa,FUNDACAO NORTE RIO GRANDENSE DE,08.469.280/0001-93,Serviços de avaliação das características físicas e texturai,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",15/01/2018,11/10/2018,"R$ 153.897,30","R$ 153.897,30",Ativo,R$,153897.30
Dispensa,PETROBRAS DISTRIBUIDORA S A,34.274.233/0156-30,Óleo Lubrificante Marbrax CCD 440 a granel,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",24/01/2018,28/02/2018,"R$ 426.321,98","R$ 41.253,15",Ativo,R$,426321.98
Dispensa,PETROBRAS DISTRIBUIDORA S A,34.274.233/0156-30,Óleo Lubrificante Marbrax CCD 440 a granel,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",26/02/2018,26/03/2018,"R$ 426.321,98","R$ 426.321,98",Ativo,R$,426321.98
Dispensa,LIEBHERR BRASIL GUINDASTES E,44.021.095/0001-03,Cartão eletrônico(a),"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,04/06/2018,"R$ 11.411,84","R$ 11.411,84",Ativo,R$,11411.84
Dispensa,PETROBRAS AMERICA INC,EXTERNO,Junta espiralada : AI AISI-316L : inserção de grafite flexív,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",02/01/2018,27/03/2018,"US$ 5.182,58","US$ 5.182,58",Ativo,US$,5182.58
Dispensa,FUGRO BRASIL - SERVICOS SUBMARINOS,03.595.293/0001-95,Manutenção em ferramentas LVOT e LLT.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",24/01/2018,23/07/2018,"R$ 146.500,05","R$ 146.500,05",Ativo,R$,146500.05
Dispensa,AIR LIQUIDE BRASIL LTDA,00.331.788/0046-10,"11.480.494 Nitrogênio 99,996% cil.125m³ FM 98.002.072- GASES","Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",02/01/2018,30/01/2018,"R$ 412,80","R$ 108,22",Concluído,R$,412.80
Dispensa,POLO COMERCIO E SERVICOS LTDA,01.113.887/0001-97,Base convencionl para detector fumaça Notifier,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",12/01/2018,16/02/2018,"R$ 1.186,64","R$ 0,00",Concluído,R$,1186.64
Dispensa,POLO COMERCIO E SERVICOS LTDA,01.113.887/0001-97,Base convencional para detector fumaça,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",09/01/2018,12/04/2018,"R$ 880,33","R$ -140,85",Concluído,R$,880.33
Convite,ASVOTEC TERMOINDUSTRIAL LTDA,56.995.681/0002-00,Permutador de calor casco-tubo aquec.,"3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao obj",06/02/2018,15/10/2018,"R$ 1.170.608,32","R$ 1.170.608,32",Ativo,R$,1170608.32
Dispensa,HITER CONTROLS ENGENHARIA LTDA,24.743.237/0001-20,Válvula de controle : tipo de obturador: globo : diâmetro no,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",03/01/2018,18/05/2018,"R$ 33.540,90","R$ 33.540,90",Ativo,R$,33540.90
Dispensa,YOKOGAWA SERVICE LTDA,29.507.571/0002-80,serviço de atualização de software e licenças necessárias pa,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",12/02/2018,12/04/2018,"R$ 42.392,80","R$ 42.392,80",Ativo,R$,42392.80
Dispensa,IKT ENGENHARIA INDUSTRIA E COMERCIO,13.603.312/0001-31,Flange de aço tipo roscado,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",06/02/2018,12/06/2018,"R$ 2.400,00","R$ 2.400,00",Ativo,R$,2400.00
Dispensa,"INTER-VALVULAS INDUSTRIA, COMERCIO,",09.258.355/0001-50,Válvula borboleta lug : acionamento manual : padrão API 609,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",02/01/2018,04/05/2018,"R$ 14.336,60","R$ 14.336,60",Ativo,R$,14336.60
Dispensa,EDITORA GLOBO S/A,04.067.191/0001-60,Assinatura do Jornal Valor Econômico para a PB-LOG. A data d,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",22/01/2018,23/01/2018,"R$ 770,40","R$ 0,00",Concluído,R$,770.40
